date_time_(UTC),channel,duration,https://archive.org/details/,text
2024-02-29 00:00:00,CNNW,25,CNNW_20240228_230000_The_Situation_Room_With_Wolf_Blitzer/start/3600,MCCONNELL STEPPING DOWN AS GOP LEADER IN NOVEMBER\nMCCONNELL STEPPING DOWN AS GOP LEADER IN NOVEMBER. . Manu Raju @W Chief Congressional Correspondent\nMCCONNELL STEPPING DOWN AS GOP LEADER IN NOVEMBER. Sen. Marco Rubio | (R) Florida
2024-02-29 00:00:00,MSNBCW,4,MSNBCW_20240228_230000_The_Beat_With_Ari_Melber/start/3600,| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. DECISION FURTHER DELAYS JAN. 6 TRIAL
2024-02-29 00:01:00,CNNW,26,CNNW_20240229_000000_Erin_Burnett_OutFront/start/60,FRONT M pUTIN'S NUKES n\nSUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM\nRON TRUMP TO. S FRONT I
2024-02-29 00:01:00,FOXNEWSW,16,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/60,DEMS USED FLOYD'S DEATH AS A POLITICAL OPPORTUNITY
2024-02-29 00:02:00,CNNW,61,CNNW_20240229_000000_Erin_Burnett_OutFront/start/120,SUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM
2024-02-29 00:02:00,FOXNEWSW,38,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/120,A/ /N. BIDEN CLAIMS CRIME IS DOWN '\nBIDEN WON'T SAY LAKEN RILEY'S NAME
2024-02-29 00:03:00,BBCNEWS,7,BBCNEWS_20240229_000000_Newsday/start/180,Supreme Court to hear Trump immunity claim
2024-02-29 00:03:00,FOXNEWSW,14,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/180,'WH SHUTS DOWN ANY QUESTIONS\nBIDEN CLAIMS CRIME IS DOWN
2024-02-29 00:04:00,BBCNEWS,4,BBCNEWS_20240229_000000_Newsday/start/240,Mitch McConnell to quit as top Senate Republican
2024-02-29 00:04:00,CNNW,48,CNNW_20240229_000000_Erin_Burnett_OutFront/start/240,"SUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM\nSUPREME COURT TO DETERMINE WHETHER AN EX-PRES HAS IMMUNITY. FROM \""PROSECUTION FOR CONDUCT ALLEGED TO INVOLVE OFFICIAL ACTS\"
2024-02-29 00:04:00,FOXNEWSW,18,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/240,THE MIGRANT CRISIS BEGAN UNDER BIDEN [ el\nBIDEN'S LEADERSHIP FAILS TO KEEP AMERICANS SAFE [ e dlcl\nLEFTIST LEADERSHIP LEAVES LAW & ORDER BEHIND
2024-02-29 00:05:00,BBCNEWS,22,BBCNEWS_20240229_000000_Newsday/start/300,"McConnell plans to step down in November\nus CBngress reporter, Axios. . [O NEWS"
2024-02-29 00:05:00,CNNW,37,CNNW_20240229_000000_Erin_Burnett_OutFront/start/300,"IN MAJOR WIN FOR TRUMP, SUPREME COURT AGREES TO HEAR. HIS IMMUNITY CLAIM, DELAYING ELECTION INTERFERENCE CASE\nSUPREME COURT TO DETERMINE WHETHER AN EX-PRES HAS IMMUNITY. FROM \""PROSECUTION FOR CONDUCT ALLEGED TO INVOLVE OFFICIAL ACTS\"
2024-02-29 00:05:00,FOXNEWSW,24,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/300,'BIDEN'S LEADERSHIP FAILS TO KEEP AMERICANS SAE | dliel\nLEFTIST LEADERSHIP LEAVES LAW & ORDER BEHIND [ v dlcl
2024-02-29 00:06:00,BBCNEWS,25,BBCNEWS_20240229_000000_Newsday/start/360,McConnell plans to step down in November
2024-02-29 00:06:00,CNNW,43,CNNW_20240229_000000_Erin_Burnett_OutFront/start/360,"SUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM\nSUPREME COURT TO DETERMINE WHETHER AN EX-PRES HAS IMMUNITY. FROM \""PROSECUTION FOR CONDUCT ALLEGED TO INVOLVE OFFICIAL ACTS\"
2024-02-29 00:06:00,FOXNEWSW,13,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/360,LEFTIST LEADERSHIP LEAVES LAW & ORDER BEHIND. . THE. INGRAHAM a. ANGLE\nBIDEN'S LEADERSHIP FAILS TO KEEP AMERICANS SAFE [ il\nLEFTIST LEADERSHIP LEAVES LAW & ORDER BEHIND [O dlcl
